Selected,Zip,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,Default
0,92801,36,1,1,0,0,1,0,32812,0,30000,15000,0,0,0.5,0,1080,0
1,90505,56,1,1,0,0,1,0,30000,0,30000,15000,0,0,0.5,1,1680,0
0,92103,36,10,1,0,0,1,0,30000,0,30000,15000,0,0,0.5,0,1080,0
1,92108,36,6,1,0,0,1,0,50000,0,50000,25000,0,0,0.5,0,1080,0
1,91345,240,65,1,3,65,1,1,343000,0,343000,343000,0,1,1,0,7200,0
1,95831,84,1,1,0,0,1,0,55825,0,50000,25000,0,0,0.5,0,2520,0
0,90255,269,2,1,0,2,1,1,297500,0,297500,223125,0,1,0.75,0,8070,1
0,90808,84,1,2,2,1,1,2,67047,0,30000,15000,1,0,0.5,0,2520,0
0,92704,22,5,1,0,0,1,1,50000,0,50000,25000,0,0,0.5,0,660,1
1,94583,84,4,2,0,0,1,1,17500,0,10000,5000,1,0,0.5,0,2520,0
1,91360,64,6,1,0,0,1,1,50000,0,50000,25000,0,0,0.5,0,1920,1
1,94103,84,1,1,0,0,1,1,17536,0,14000,7000,0,0,0.5,0,2520,0
0,95746,84,12,1,0,0,1,1,33276,0,25000,12500,0,0,0.5,0,2520,0
1,91354,76,2,2,0,2,1,2,30000,0,30000,15000,1,0,0.5,0,2280,1
1,95965,60,8,1,0,0,1,1,30502,0,30000,15000,0,0,0.5,0,1800,0
1,91505,60,13,2,7,20,1,1,25000,0,25000,12500,1,0,0.5,0,1800,0
1,94550,84,1,1,0,0,1,1,20000,0,20000,10000,0,0,0.5,0,2520,0
0,92101,300,15,1,0,0,1,0,1000000,0,1000000,750000,0,1,0.75,0,9000,0
1,95695,38,2,2,0,0,1,1,10097,0,10000,5000,1,0,0.5,0,1140,1
1,91356,84,22,1,0,0,1,1,10000,0,10000,5000,0,0,0.5,0,2520,0
1,92507,240,13,1,8,0,1,1,79000,0,79000,79000,0,1,1,0,7200,0
0,92507,240,13,1,8,0,1,1,249000,0,249000,249000,0,1,1,0,7200,0
1,90662,62,2,1,0,0,1,1,4999,0,10000,5000,0,0,0.5,0,1860,1
1,91604,84,3,2,0,3,1,2,59450,0,30000,15000,1,0,0.5,0,2520,0
1,94080,84,3,1,0,0,1,1,25530,0,20000,10000,0,0,0.5,0,2520,0
0,90305,67,12,1,0,0,1,1,50000,0,50000,25000,0,0,0.5,0,2010,1
1,95030,32,5,1,0,0,1,1,64000,0,50000,25000,0,0,0.5,0,960,0
1,94901,84,4,1,0,0,1,1,39000,0,10000,5000,0,0,0.5,0,2520,0
0,94707,84,3,1,0,0,1,1,25000,0,25000,12500,0,0,0.5,0,2520,0
0,95037,84,2,1,0,0,1,1,32697,0,25000,12500,0,0,0.5,0,2520,0
0,91208,84,4,1,0,0,1,1,25000,0,25000,12500,0,0,0.5,0,2520,0
1,95630,84,1,2,0,0,1,1,10000,0,10000,5000,1,0,0.5,0,2520,0
1,93610,84,2,1,0,0,1,2,10000,0,10000,5000,0,0,0.5,0,2520,0
0,91604,34,1,2,0,0,1,1,12750,0,10000,5000,1,0,0.5,0,1020,1
0,92656,84,1,1,0,0,1,1,35000,0,35000,17500,0,0,0.5,0,2520,0
1,92545,300,30,1,0,0,1,0,150500,0,150500,112875,0,1,0.75,0,9000,0
0,92708,84,8,1,0,0,1,1,100000,0,100000,50000,0,0,0.5,0,2520,0
1,92868,33,12,1,0,0,1,1,50000,0,50000,25000,0,0,0.5,0,990,1
1,92307,84,3,1,0,0,1,1,50000,0,50000,25000,0,0,0.5,0,2520,0
1,93274,4,2,1,0,0,1,1,12000,0,12000,6000,0,0,0.5,0,120,1
0,93546,84,2,1,0,0,1,2,11000,0,11000,5500,0,0,0.5,0,2520,0
0,92590,84,7,1,0,0,1,1,50000,0,50000,25000,0,0,0.5,0,2520,0
0,92301,56,3,1,0,0,1,1,25009,0,25000,12500,0,0,0.5,0,1680,1
1,92307,50,1,1,0,0,1,1,50591,0,50000,25000,0,0,0.5,1,1500,1
0,91941,84,6,1,0,0,1,1,229540,0,100000,50000,0,0,0.5,0,2520,0
0,91789,61,4,1,0,0,1,1,10000,0,10000,5000,0,0,0.5,0,1830,1
1,92831,42,7,1,0,0,1,1,100000,0,100000,50000,0,0,0.5,1,1260,1
0,92801,42,10,1,0,0,1,1,100000,0,100000,50000,0,0,0.5,1,1260,1
1,92648,84,4,1,0,4,1,1,113000,0,50000,25000,0,0,0.5,0,2520,0
1,92083,84,18,1,2,18,1,1,50000,0,50000,25000,0,0,0.5,0,2520,0
1,91730,49,3,1,2,3,1,1,69500,0,50000,25000,0,0,0.5,1,1470,1
1,94117,60,2,1,0,2,1,1,50000,0,50000,25000,0,0,0.5,0,1800,1
1,93611,32,6,1,0,0,1,0,90000,0,90000,72000,0,0,0.8,0,960,1
1,91505,84,2,1,0,2,1,1,10000,0,10000,5000,0,0,0.5,0,2520,0
0,92260,84,58,1,4,58,1,1,100000,0,100000,50000,0,0,0.5,0,2520,0
0,92301,53,2,1,1,2,1,1,25000,0,25000,12500,0,0,0.5,0,1590,1
1,94931,19,1,2,0,1,1,1,23282,0,10000,5000,1,0,0.5,0,570,1
0,92701,42,12,2,0,12,1,1,20000,0,10000,5000,1,0,0.5,1,1260,1
0,95945,240,13,1,6,13,15710,2,229000,0,229000,229000,0,1,1,0,7200,0
1,92688,25,2,1,2,2,1,2,83500,0,50000,25000,0,0,0.5,0,750,1
0,92887,84,4,1,0,4,1,1,50000,0,50000,25000,0,0,0.5,0,2520,0
0,95628,84,4,1,1,4,1,1,50000,0,50000,25000,0,0,0.5,0,2520,0
